day,W=14|q=0.2,W=14|q=0.3,W=28|q=0.2,W=28|q=0.3
2024-05-21,0.001358131369309252,-0.003412908628879708,-0.0003843460454071762,-0.0026002565719385456
2024-05-22,0.005802082449528189,0.0060224302952445715,0.0056126822775007966,0.00634479808150166
2024-05-23,0.01617250182489294,0.007368825429279259,0.015092694656072277,0.008168933539084534
2024-05-24,0.020244096068533765,0.015144259665785836,0.01876931033198919,0.01668507421831364
2024-05-25,-0.006903395687881495,-0.010479540528183975,-0.0064127498279889904,-0.011589801798548212
2024-05-26,0.012022896635508637,0.01141559409564213,0.011296442922239882,0.012705281196049592
2024-05-27,-0.005278825216286162,-0.009518202497105081,-0.004959395517420083,-0.010432839943315134
2024-05-28,-0.002791752580291472,-0.014963792291751215,-0.0026139013942711557,-0.01637582740372778
2024-05-29,-0.006541351915565299,-0.010902050681138524,-0.005904931402356369,-0.011854340790243804
2024-05-30,0.0007882134338025415,0.011453149868854708,0.004967238597630868,0.012298213180496906
2024-05-31,0.00267606736955747,0.00474375017990727,0.004733874866288927,0.005082326001723715
2024-06-01,-0.00495704987325017,-0.0006350138232728927,-0.004249701021418738,-0.0006800194669858287
2024-06-02,-0.0056269600032745875,0.0010383721701438242,-0.0009836313130503057,0.001103953397906222
2024-06-03,-0.01576393431329978,-0.005829983114193284,-0.012741475542802921,-0.0061522736533274475
2024-06-04,-0.0026018601285978642,0.002311103883210768,0.0005387536541718456,0.002434543430874717
2024-06-05,0.00397963010426302,-0.003887179398080601,0.005029594233250685,-0.002583188350266902
2024-06-06,0.0014534357592291675,0.002430827328267839,0.0015078883012067336,0.0016234296071013711
2024-06-07,-0.010948228760162758,-0.005012480464815671,-0.01026992041053531,-0.009173602383703695
2024-06-08,-0.008464069463334415,-0.006556665698881719,-0.0068109761782039506,-0.012746404052828899
2024-06-09,0.0073188977223060244,0.005144230089259267,0.00582861306555766,0.00515981241225738
2024-06-10,0.010112359545201156,0.007323542290519949,0.005158837303221041,0.006513954671918405
2024-06-11,-0.002467599594849396,0.0056490520788581395,0.004742392922936183,0.0026303624157994216
2024-06-12,0.012003371499532806,0.009624636475173526,0.009665179342658375,0.011054683010748871
2024-06-13,-0.016589287667728186,-0.01582400959158045,-0.014583128682307782,-0.015621108062275072
2024-06-14,-0.0037212892615967326,-0.0019362311053439491,-0.001719468202597509,-5.9170377509957814e-05
2024-06-15,-0.00504601686320819,-0.007206462856139575,-0.0010380285813675744,-0.009085965352530196
2024-06-16,-0.0012278543495597048,0.0036347513437818384,-0.0025191996690579472,0.003475511027017539
2024-06-17,-0.01285012339595646,-0.011762516929762394,-0.007023681462116622,-0.008029946150207525
2024-06-18,-0.003706432207610208,-0.006300966208746302,-0.00684148258355773,-0.00451397516209698
2024-06-19,0.004578634487239138,0.013812038725397734,0.00527157267668901,0.013696695806188038
2024-06-20,0.007081245701444617,0.0007066208208511958,0.004107541283479723,0.0007021080718846037
2024-06-21,-0.01366049364911524,-0.01013974058614442,-0.014080438981484134,-0.010065605003738215
2024-06-22,-0.004241439233473704,-0.009036978531402375,-0.004802768231746851,-0.008974829072012833
2024-06-23,0.003341667083864248,0.0009565128673748308,0.0033347626288394603,0.0009506170929490326
2024-06-24,0.014636665150160039,0.023321324777858695,0.018096018680985884,0.023198213279697767
2024-06-25,0.007666943162573843,0.0038443411995443474,-0.0014334625736170349,0.0038263147839674287
2024-06-26,-0.0032081599356634815,0.0009151009739115001,-0.0035728477050333603,0.00538776666681849
2024-06-27,-0.005393514177615232,-0.015054603714910375,-0.0058806143557518465,-0.009651247122180484
2024-06-28,0.005402901616798,0.005152345701202971,0.005921362205060116,0.008422968169875667
2024-06-29,-0.014428839148087635,-0.004739283392068584,-0.016052138862259195,-0.005016865666839397
2024-06-30,0.0031542197593677976,-0.002976529049573381,0.0035411595698403614,0.000552313256003424
2024-07-01,0.0034743913469739373,0.00590336268321343,0.003851635664079024,0.0050830107558125
2024-07-02,-0.017941604603732397,-0.021340313456814402,-0.01982827070788087,-0.022877745686903685
2024-07-03,0.009424610022494001,0.006240365725991084,0.010412720183460835,0.003791028816682978
2024-07-04,-0.004747609088446262,0.007552375620784308,-0.005180181023475961,0.007685817326285765
2024-07-05,0.005413826363444137,-0.0010461356989039123,0.0059111385127097035,0.004025004691100276
2024-07-06,0.0003038658265235184,-0.010404079108417704,0.0003316808042815519,-0.0012452742313064636
2024-07-07,-0.006748749836411291,-0.0010326013636924368,-0.007399636362283325,-0.004962139302845378
2024-07-08,0.015031941282509256,0.008970983134168902,0.016450377002692935,0.007563213784964459
2024-07-09,0.030589712740353648,0.024937280974856705,0.0333597205440664,0.025409171252143835
2024-07-10,0.00038091267471882363,-0.0025496028236489158,0.00038903194856377616,0.004439718284825413
2024-07-11,-0.0005757180109112071,0.0053748005951806494,-0.0006115809059565883,0.005034895329972103
2024-07-12,-0.012441250804158106,-0.014274117470826334,-0.012968337226023365,-0.009933562463568099
2024-07-13,0.012300583751468825,0.023200576828526845,0.012758034513493615,0.024902899462813474
