enter_term_sys1,enter_term_sys2,leave_term_sys1,leave_term_sys2,win_rate,profit_loss_ratio,expectancy,mdd,final_whole_asset,positive_rate,median_asset,mean_asset,s1_return_median,s1_return_mean,s2_return_median,s2_return_mean,s1_max_consec_win,s1_max_consec_loss,s2_max_consec_win,s2_max_consec_loss,overall_max_consec_win,overall_max_consec_loss,final_win_count,final_loss_count,min_equity,min_realized_pnl,final_equity
19,55,12,20,0.2962962962962963,3.7401218224143666,81.62574560148215,-0.23991119443278583,2203.8951312400186,0.9365256124721604,2602.54665501002,2488.554169528137,-0.04589516586222804,-0.0038487997386192382,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12203.895131240026
19,55,13,20,0.2962962962962963,3.7436036029916893,81.75782373037111,-0.23851983621281142,2207.4612407200184,0.9365256124721604,2606.11276449002,2480.188668804262,-0.04172441966831363,-0.003363232776930258,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12207.461240720024
19,55,14,20,0.2962962962962963,3.7262452261236,84.20820712592669,-0.24304080056319047,2273.621592400019,0.9365256124721604,2666.1873515650104,2622.5426435283384,-0.05130260303100712,-0.0016076251283291018,-0.029190956629576166,0.00005831960309348985,2,7,1,4,2,8,8,19,9985.478109759999,0.0,12273.621592400023
19,55,15,20,0.3333333333333333,3.151041839715991,80.92156472703775,-0.24555832983988865,2184.882247630018,0.9365256124721604,2680.6908377350087,2621.0180132899523,-0.05130260303100712,-0.007786754851384938,-0.008927092747367749,0.017073248203930094,2,7,2,3,2,7,9,18,9985.478109759999,0.0,12184.882247630023
19,55,16,20,0.3333333333333333,3.1964581562184646,82.28973348481554,-0.24450161678739948,2221.822804090017,0.9365256124721604,2699.2258369600004,2669.4863700026685,-0.05130260303100712,-0.006543014462479759,-0.005978166280056985,0.017400906700297956,2,7,2,3,2,7,9,18,9985.478109759999,0.0,12221.822804090021
19,55,17,20,0.34615384615384615,2.7416580999602327,70.94744480346216,-0.26187002940484294,1844.6335648900163,0.9287305122494433,2455.866466135008,2391.564282668081,-0.060528497940449705,-0.009105574670175233,-0.019579434762151685,0.029779657674468323,2,6,2,4,2,6,9,17,9943.299752330004,-2.497619889996713,11844.63356489002
19,55,18,20,0.38461538461538464,2.2957004123562723,67.84426470692375,-0.26187002940484294,1763.950882380017,0.9287305122494433,2455.866466135008,2389.4349171493504,-0.060528497940449705,-0.010316819531187738,-0.010441679233606647,0.03166544690730456,2,6,2,3,2,6,10,16,9943.299752330004,-2.497619889996713,11763.95088238002
20,55,5,20,0.34375,2.9329742114264064,59.2935044887508,-0.22024698513168814,1897.3921436400224,0.9365256124721604,2481.9853535900115,2222.7522441656774,-0.023916492266217962,-0.0065929309495208034,-0.029495872997159188,-0.0011402162261512194,3,6,1,5,4,6,11,21,9985.478109759999,0.0,11897.392143640025
20,55,6,20,0.3103448275862069,3.5044342002467874,77.04434049206981,-0.20888948812821875,2234.285874270022,0.9365256124721604,2784.3058026700132,2523.8855514943725,-0.03248196741139681,-0.0022514453210508737,-0.025811042750071993,0.004057113438666906,2,7,1,4,3,8,9,20,9985.478109759999,0.0,12234.285874270021
20,55,7,20,0.2857142857142857,3.8310107416045063,73.42731887392927,-0.22269818186596643,2055.964928470017,0.9365256124721604,2671.891788690016,2514.3910658409523,-0.029730825845528382,0.0019195994420891575,-0.029190956629576166,0.0023416850736722233,2,7,1,4,3,8,8,20,9985.478109759999,0.0,12055.964928470026
20,55,8,20,0.3076923076923077,3.888893757885719,102.46910905423155,-0.22537480621854641,2664.196835410018,0.9365256124721604,2899.4388261900176,2646.448511952835,-0.029730825845528382,-0.00842249662529249,-0.029190956629576166,0.01050925843601984,2,7,1,4,3,8,8,18,9985.478109759999,0.0,12664.19683541002
20,55,9,20,0.2692307692307692,4.812792503337869,108.71980517346248,-0.22245557483836037,2826.714934510022,0.9365256124721604,3030.906318800021,2759.6594061875917,-0.029730825845528382,0.010836762367078694,-0.029190956629576166,-0.006698044000432214,2,7,1,6,2,8,7,19,9985.478109759999,0.0,12826.714934510026
20,55,10,20,0.2692307692307692,4.879156922098342,112.15802453769314,-0.2211990768316672,2916.1086379800213,0.9365256124721604,3120.3000222700202,2842.8492893970006,-0.029730825845528382,0.014084061364625004,-0.029190956629576166,-0.008777522686102497,2,7,1,6,2,8,7,19,9985.478109759999,0.0,12916.108637980025
20,55,11,20,0.3076923076923077,3.8241254010654973,100.62695207461616,-0.2241602068612629,2616.300753940017,0.9365256124721604,2896.3428341700173,2621.952821776265,-0.03523310897726525,0.0036132889795070103,-0.029190956629576166,-0.0023520317765753887,2,7,1,4,3,8,8,18,9985.478109759999,0.0,12616.300753940024
20,55,12,20,0.3076923076923077,3.6637968311891953,92.12395403653923,-0.23834294934089728,2395.2228049500172,0.9365256124721604,2718.4524210700083,2542.5019733536597,-0.04086810631064186,0.0002895510123815033,-0.029190956629576166,0.003313638159219673,2,7,1,4,2,8,8,18,9985.478109759999,0.0,12395.222804950026
