date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-09-07,NORMAL,82.79,0.839,71.75,0.026395889730937643,0.0476703273773574,-0.11664562746171712
2024-09-08,NORMAL,81.69,0.884,71.6,0.0263459627716804,0.0475705071226938,-0.12152332403347096
2024-09-09,NORMAL,74.86,0.753,68.25,0.025225655322366262,0.04534240504102634,-0.1509264720008695
2024-09-10,NORMAL,66.94,0.692,65.74,0.024379599406153304,0.04367440128814406,-0.13109098041413872
2024-09-11,NORMAL,51.64,0.612,62.55,0.02329600832608584,0.04155603477144805,-0.11436847696705235
2024-09-12,NORMAL,52.46,0.608,62.68,0.023340350558876448,0.04164233269409539,-0.10289188701554575
2024-09-13,NORMAL,45.9,0.491,61.67,0.022995433855830447,0.04097192761115388,-0.103220768598103
2024-09-14,NORMAL,44.54,0.476,61.46,0.0229235996822161,0.0408325543631956,-0.07388664233369266
2024-09-15,NORMAL,59.84,0.485,64.18,0.02385086267639791,0.04263826037814322,-0.039623459466294614
2024-09-16,NORMAL,48.63,0.453,62.24,0.023190206022840328,0.0413502572478172,-0.02805476866255914
2024-09-17,NORMAL,42.62,0.448,61.32,0.02287568747084602,0.04073964220240059,-0.028835446680597537
2024-09-18,NORMAL,38.8,0.312,60.36,0.022546655266996216,0.04010260036820172,-0.06820909795289133
2024-09-19,NORMAL,46.72,0.277,61.98,0.02310139995499919,0.04117768019238668,-0.11660843247845766
2024-09-20,NORMAL,40.71,0.317,61.06,0.022786659302399113,0.04056709804809602,-0.08586363269821559
2024-09-21,NORMAL,44.81,0.351,61.62,0.02297833419611004,0.04093874295640456,-0.12630034793621334
2024-09-22,NORMAL,45.63,0.35,61.8,0.023039882109325064,0.041058209327077114,-0.12997319792052503
2024-09-23,NORMAL,37.43,0.31,60.29,0.022522629742101726,0.040056154078812016,-0.10360570184512843
2024-09-24,NORMAL,38.25,0.935,60.48,0.02258783124719673,0.04018222403277472,-0.08840762848273487
2024-09-25,NORMAL,26.23,0.91,57.07,0.021412494264290635,0.03792025329120194,-0.06859889164096745
