date,regime,ivp,z,dvol,covered_call,short_strangle_ps,long_straddle
2024-03-31,NORMAL,98.09,0.684,76.64,0.028012537473611338,-0.020284791716458778,0.02899523011320454
2024-04-01,NORMAL,93.99,0.293,73.81,0.027079519844716612,0.025689097268671714,-0.02273267779370261
2024-04-02,NORMAL,94.26,0.354,74.37,0.027264707866821423,0.049414666453916886,-0.059340892072228923
2024-04-03,NORMAL,92.08,0.182,72.45,0.026628616013506468,0.04813622028923181,-0.1251529499242041
2024-04-04,NORMAL,91.8,0.179,72.31,0.02658210580220881,0.048043033061037084,-0.12438240347692114
2024-04-05,NORMAL,91.53,0.151,71.96,0.026465753631797404,0.047810083950927326,-0.11931761478704511
2024-04-06,NORMAL,91.53,0.18,72.3,0.026578782974191657,0.04803637699696073,-0.08387563181092655
2024-04-07,NORMAL,98.36,0.702,77.43,0.028271730033751077,0.047948352881347994,-0.048372252300877716
2024-04-08,NORMAL,96.72,0.609,76.25,0.027884379302083345,0.035139395882526736,-0.03369796942025888
2024-04-09,NORMAL,92.9,0.36,73.69,0.027039800454224123,0.04896178598426068,-0.07743025881704163
2024-04-10,NORMAL,90.98,0.186,72.32,0.02658542854086979,0.017685885764677892,-0.013571912036998118
2024-04-11,NORMAL,88.52,0.349,68.42,0.02528275079116109,0.0058416108550742515,-9.340186583467469e-06
2024-04-12,NORMAL,87.43,-0.043,66.94,0.024784804216330673,0.044471712227212724,-0.07887898489659358
2024-04-13,NORMAL,91.8,0.65,72.95,0.026794581074252605,0.04846906761572869,-0.13494165908606054
2024-04-14,NORMAL,89.89,0.628,71.99,0.026475730967508215,0.047830049962011865,-0.10688578205554987
2024-04-15,NORMAL,88.25,0.581,70.48,0.025972536948297615,0.046825334373886966,-0.12863797792982376
2024-04-16,NORMAL,88.25,0.692,70.88,0.02610603259891079,0.04709143708998631,-0.12282567728717843
2024-04-17,RICH,87.98,1.047,70.72,0.026052651594831035,0.046984991993723677,-0.0836074699845013
2024-04-18,NORMAL,87.43,0.578,69.98,0.025805464985171066,0.046492752529181725,-0.12629453720741446
2024-04-19,NORMAL,87.43,0.664,70.4,0.025945820555400935,0.04677211782426293,-0.12602898634827514
2024-04-20,NORMAL,89.62,0.759,71.98,0.02647240527840104,0.04782339460308155,-0.09114573085797949
2024-04-21,NORMAL,89.89,0.874,72.05,0.02649568322362997,0.04786998257604039,-0.11959887166388158
